Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,RF/9▼,RF/G,SB,CS,CS%,PO.1,Name-additional
346.0,Gabe White,26.0,CIN,NL,69.0,3.0,0.0,98.2,16.0,4.0,12.0,0.0,0.0,1.0,1.46,0.23,4.0,5.0,0.56,1.0,whitega01
345.0,Jarrod Washburn,23.0,ANA,AL,15.0,11.0,0.0,74.0,12.0,4.0,8.0,0.0,0.0,1.0,1.46,0.8,10.0,2.0,0.17,1.0,washbja01
347.0,Dennis Cook,35.0,NYM,NL,73.0,0.0,0.0,68.0,12.0,2.0,9.0,1.0,1.0,0.917,1.46,0.15,3.0,4.0,0.57,4.0,cookde01
348.0,Rick Aguilera,36.0,MIN,AL,68.0,0.0,0.0,74.1,12.0,3.0,9.0,0.0,2.0,1.0,1.45,0.18,6.0,0.0,0.0,0.0,aguilri01
349.0,Mike DeJean,27.0,COL,NL,59.0,1.0,0.0,74.1,12.0,6.0,6.0,0.0,3.0,1.0,1.45,0.2,5.0,6.0,0.55,0.0,dejeami01
352.0,Gregg Olson,31.0,ARI,NL,64.0,0.0,0.0,68.2,11.0,4.0,7.0,0.0,0.0,1.0,1.44,0.17,7.0,2.0,0.22,0.0,olsongr01
353.0,Chad Ogea,27.0,CLE,AL,19.0,9.0,0.0,69.0,11.0,2.0,9.0,0.0,1.0,1.0,1.43,0.58,6.0,1.0,0.14,0.0,ogeach01
356.0,Cal Eldred,30.0,MIL,NL,23.0,23.0,0.0,133.0,23.0,9.0,12.0,2.0,4.0,0.913,1.42,0.91,9.0,6.0,0.4,1.0,eldreca01
358.0,Jeff Juden,27.0,TOT,MLB,32.0,30.0,2.0,178.1,31.0,9.0,19.0,3.0,2.0,0.903,1.41,0.88,47.0,6.0,0.11,0.0,judenje01
360.0,John Hudek,31.0,TOT,MLB,58.0,0.0,0.0,64.0,10.0,3.0,7.0,0.0,0.0,1.0,1.41,0.17,5.0,4.0,0.44,1.0,hudekjo01
361.0,Tony Saunders,24.0,TBD,AL,31.0,31.0,2.0,192.1,31.0,12.0,18.0,1.0,4.0,0.968,1.4,0.97,13.0,10.0,0.43,1.0,saundto01
364.0,Sidney Ponson,21.0,BAL,AL,31.0,20.0,0.0,135.0,22.0,10.0,11.0,1.0,1.0,0.955,1.4,0.68,18.0,4.0,0.18,1.0,ponsosi01
362.0,Jason Dickson,25.0,ANA,AL,27.0,18.0,0.0,122.0,20.0,9.0,10.0,1.0,0.0,0.95,1.4,0.7,7.0,5.0,0.42,0.0,dicksja01
363.0,Dennis Springer,33.0,TBD,AL,29.0,17.0,1.0,115.2,18.0,7.0,11.0,0.0,2.0,1.0,1.4,0.62,15.0,4.0,0.21,0.0,sprinde01
365.0,Donovan Osborne,29.0,STL,NL,14.0,14.0,1.0,83.2,16.0,5.0,8.0,3.0,2.0,0.813,1.4,0.93,2.0,2.0,0.5,0.0,osbordo01
